resolution,range_period,range_multiplier,signal_count,opened_trade_count,total_signal_net_profit,average_signal_net_profit,average_opened_trade_net_profit
1d,12,-0.05,498,215,-2475.1421522196133,-4.970164964296412,-11.512289080091225
1d,18,-0.05,498,220,-2495.388795850061,-5.010820875200926,-11.342676344773004
1d,18,-0.02,498,220,-2514.97934954547,-5.050159336436687,-11.431724316115773
1d,21,-0.02,498,220,-2520.443073278806,-5.06113066923455,-11.456559423994573
1d,21,-0.01,498,220,-2521.699005897255,-5.063652622283644,-11.462268208623886
1d,18,-0.01,498,220,-2555.118164113607,-5.130759365689974,-11.614173473243667
1d,12,-0.02,498,215,-2576.1648151079717,-5.17302171708428,-11.982161930734751
1d,12,-0.01,498,215,-2579.892182762973,-5.180506391090307,-11.999498524478943
1d,21,-0.05,498,220,-2586.8126649658257,-5.194402941698445,-11.758239386208299
1d,7,-0.01,498,213,-2628.5447938630355,-5.278202397315332,-12.340585886680918
1d,7,2.5,498,213,-2649.1895292024537,-5.319657689161554,-12.437509526772084
1d,12,-0.03,498,215,-2722.3628207777906,-5.466592009593957,-12.66215265478042
1d,7,1.5,498,213,-2769.8272738335254,-5.56190215629222,-13.003883914711388
1d,21,-0.03,498,220,-2775.8197007143435,-5.573935141996674,-12.617362275974289
1d,7,3.0,498,213,-2777.9237213922574,-5.578160083116983,-13.041895405597453
1d,18,-0.03,498,220,-2781.6410597868435,-5.585624618045871,-12.643822999031107
1d,7,2.0,498,213,-2816.490680369967,-5.655603775843307,-13.22296094070407
1d,14,-0.02,498,218,-2826.2581150978517,-5.675217098590064,-12.964486766503907
1d,14,-0.05,498,218,-2832.4819517432015,-5.687714762536549,-12.993036475886246
1d,14,-0.01,498,218,-2833.768423190487,-5.690298038535114,-12.99893772105728
1d,18,1.5,498,220,-2879.611635759412,-5.782352682247815,-13.089143798906418
1d,7,-0.02,498,213,-2926.0492520576117,-5.875600907746208,-13.73732043219536
1d,18,2.5,498,220,-2933.9049866304676,-5.891375475161581,-13.335931757411217
1d,12,2.5,498,215,-2948.2177978188583,-5.920116059877226,-13.712640920087713
1d,12,3.0,498,215,-2956.7896624746927,-5.937328639507415,-13.752510058021826
1d,18,3.0,498,220,-2995.866598970004,-6.015796383473903,-13.617575449863654
1d,14,-0.03,498,218,-3020.604207058811,-6.065470295298817,-13.855982601187206
1d,7,-0.05,498,213,-3032.4277641684944,-6.089212377848383,-14.236750066518752
1d,7,-0.03,498,213,-3035.777304624302,-6.0959383626994015,-14.252475608564797
1d,21,1.5,498,220,-3043.6506378132744,-6.111748268701354,-13.834775626423975
1d,5,1.5,498,204,-3047.5409789720575,-6.119560198739071,-14.938926367510085
1d,14,2.5,498,218,-3061.0736857459524,-6.146734308726812,-14.04162241167868
1d,14,1.5,498,218,-3062.652985740675,-6.149905593856777,-14.048866907067316
1d,12,1.5,498,215,-3085.2254020799455,-6.1952317310842275,-14.349885591069514
1d,14,2.0,498,218,-3111.843420509829,-6.248681567288813,-14.274511103256096
1d,21,2.5,498,220,-3130.894113970193,-6.286935971827696,-14.231336881682696
1d,5,-0.01,498,204,-3134.8500732663206,-6.294879665193415,-15.366912123854513
1d,14,3.0,498,218,-3178.797257437741,-6.383127022967352,-14.581638795585967
1d,5,2.5,498,204,-3179.3436882585074,-6.38422427361146,-15.585018079698566
1d,5,2.0,498,204,-3188.4327297948735,-6.402475361033883,-15.629572204876832
1d,5,-0.02,498,204,-3208.1753288860223,-6.442119134309282,-15.726349651402069
1d,12,2.0,498,215,-3241.952641033356,-6.509945062315976,-15.0788494931784
1d,18,2.0,498,220,-3254.757759127702,-6.535658150858839,-14.794353450580463
1d,5,-0.05,498,204,-3297.188353294747,-6.620860147178206,-16.162688006346798
1d,21,3.0,498,220,-3328.742142573905,-6.684221169827119,-15.130646102608658
1d,5,-0.03,498,204,-3373.7467139158184,-6.774591795011683,-16.53797408782264
1d,21,2.0,498,220,-3389.3869915185287,-6.805997974936805,-15.406304506902403
1d,5,3.0,498,204,-3434.0273471980963,-6.895637243369672,-16.833467388225962
